country_id,indicator_id,value,version,change_note,review_status,tags,source_url
AUS,I11,"Yes
Key milestones captured in events.csv",2026/2/4,Initial baseline,published,timeline,"[""https://my.gov.au/en/about/help/digital-id"", ""https://www.digitalidsystem.gov.au/the-australian-government-digital-id-system-agdis""]"
CAN,I01,"None
Canada has no administrative population register at either the federal or provincial level; population figures are derived from census counts and statistical integration of administrative sources.",2026/2/4,I01 explanatory detail expanded for consistency (classification unchanged).,published,none;federalism,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/settle-canada/driving.html""]"
CAN,I02,"No
There is no continuously updated population register, and a resident-registration-based nationwide backbone is not in place. Population statistics rely on periodic censuses and administrative data integration, while identity-related records are maintained within program-specific systems rather than a unified nationwide register reference.",2026/2/4,I02 detail expanded for consistent explanatory depth (definition refined; see README). | Sources normalised to government-first (batch lift 2026-02-10-2),published,none;no-register,"[""https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=3901"", ""https://www12.statcan.gc.ca/census-recensement/index-eng.cfm""]"
CAN,I03,"Restricted
A single national identifier exists in the form of the Social Insurance Number (SIN), which is used across key administrative domains such as employment reporting, taxation, and government benefits. However, the SIN is explicitly treated as confidential and purpose-bound, with official guidance emphasising minimised disclosure and discouraging its use as a general identity credential. As a result, while a common personal identifier exists, it is institutionally framed as a restricted and sensitive reference number rather than a universal cross-sector identifier.",2026/2/4,Initial baseline,published,restricted;sin;tax,"[""https://www.canada.ca/en/employment-social-development/services/sin.html"", ""https://www.canada.ca/en/employment-social-development/services/sin/protection.html""]"
CAN,I04,"None
Canada’s federal sign-in options (GCKey and Sign-In Partner) focus on authentication choice via a credential broker. Official guidance states that personally identifying information is not exchanged during authentication and that Sign-In Partner does not provide identity information or verified attributes to government services; as a result, there is no institutionalised nationwide verified-attribute or data-sharing backbone comparable to consent-based exchange.",2026/2/4,I04 sources normalised to government-first; detail aligned to verified-attribute/data-exchange definition.,published,authentication-only;no-attributes,"[""https://www.canada.ca/en/revenue-agency/services/e-services/cra-login-services/help-cra-sign-in-services/sign-in-partners.html"", ""https://www.canada.ca/en/pacific-economic-development/services/funding/cyber-authentication.html""]"
CAN,I05,"No
Canada does not operate a federal national ID card; identity relies on passports and provincial/territorial documents such as driver’s licences or photo ID. Online access to federal services uses GCKey or the Sign‑In Partner (bank‑based) credential broker model rather than a chip‑based national ID card reused online. Accordingly, Canada is classified No for this indicator.",2026/2/4,"Initial baseline; I05 detail harmonised (2–4 sentence paragraph), translations aligned; government-first sources kept (batch 2026-02-10)",published,no-id-card,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/settle-canada/driving.html""]"
CAN,I06,"Partial
Canada does not operate a nationwide mobile ID; instead, provinces offer selected digital-ID apps (e.g., BC Services Card app), while federal access relies on GCKey/Sign‑In Partner as authentication choices via a credential-broker model. As a result, mobile-ID coverage and cross‑domain reuse remain limited at the national level.",2026/2/4,"I06 aligned to locked definition; detail harmonised (2–4 sentence, 1 paragraph); government-first sources; batch 2026-02-10",published,partial;smartphone;digital-id,"[""https://www2.gov.bc.ca/gov/content/governments/government-id/bcservicescardapp"", ""https://www.canada.ca/en/pacific-economic-development/services/funding/cyber-authentication.html""]"
CAN,I07,"None
Canada does not operate a nationwide mobile driver’s licence; provinces and territories issue physical licences and require drivers to carry them when driving. While digital credentials may be explored in various contexts, a federal or nationwide mDL acceptance regime has not been established in this dataset’s timeframe.",2026/2/4,I06 definition/classification restored; I07 definition/classification aligned; I07 details expanded (2–4 sentence); sources normalised (government-first); batch 2026-02-10,published,none;drivers-license,"[""https://www.canada.ca/en/immigration-refugees-citizenship/services/settle-canada/driving.html""]"
CAN,I08,"Multiple
Authentication uses GCKey plus Sign-In Partner (bank-based) and some provincial sign-in options.",2026/2/4,Initial baseline,published,authentication;multiple,"[""https://www.canada.ca/en/employment-social-development/services/my-account.html"", ""https://www.canada.ca/en/immigration-refugees-citizenship/corporate/partners-service-providers/partner-portal.html""]"
CAN,I09,"Procurement
Government of Canada cloud adoption is guided by the Cloud Adoption Strategy (cloud smart) and security baselines such as GC Cloud Guardrails; cloud use is managed through policy, assurance and procurement frameworks rather than a single, public, unified 'government cloud' product brand.",2026/2/4,Finalize I09 wording; remove needs-review after evidence update,published,procurement;cloud-policy;guardrails,"[""https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/cloud-services/cloud-adoption-strategy-2023-update.html"", ""https://www.cyber.gc.ca/en/guidance/government-canada-cloud-guardrails-gc-cloud-guardrails"", ""https://publications.gc.ca/collections/collection_2024/spc-ssc/P118-34-2024-eng.pdf""]"
CAN,I10,"Adequacy
EU recognises Canada (commercial organisations) as providing adequate protection for personal data transfers.",2026/2/4,Initial baseline,published,privacy;gdpr;adequacy,"[""https://commission.europa.eu/law/law-topic/data-protection/international-dimension-data-protection/adequacy-decisions_en""]"
CAN,I11,"Yes
Key milestones captured in events.csv",2026/2/4,Initial baseline,published,timeline,"[""https://www.canada.ca/en/employment-social-development/services/my-account.html"", ""https://www.canada.ca/en/immigration-refugees-citizenship/corporate/partners-service-providers/partner-portal.html""]"
DEU,I01,"Local
Population registers are legally maintained by municipal registration authorities under federal law; Germany does not operate a single national population register.",2026/2/4,I01 explanatory detail expanded for consistency (classification unchanged).,published,mandatory;residents;municipal,"[""https://www.bmi.bund.de/EN/topics/administrative-reform/registration/registration-node.html"", ""https://www.gesetze-im-internet.de/englisch_bmg/englisch_bmg.html""]"
DEU,I02,"Partial
A resident registration regime exists, but registers are maintained locally by registration authorities and there is no single national population register. Legal frameworks enable inter-authority information provision, yet the nationwide backbone remains federated and limited compared with a single unified national reference.",2026/2/4,I02 detail expanded for consistent explanatory depth (definition refined; see README).,published,federal;municipal;population-register,"[""https://www.bmi.bund.de/EN/topics/administrative-reform/registration/registration-node.html"", ""https://www.gesetze-im-internet.de/englisch_bmg/englisch_bmg.html""]"
DEU,I03,"None
A nationwide personal tax identification number exists for tax administration, issued and handled through the federal tax authority, but it functions primarily within the taxation domain. The current dataset treats Germany as a separated-identifier (sector-specific) design, where a single universal cross-sector personal identifier is not positioned as the institutional backbone for public and private usage. Under this interpretation, the country aligns with a non-common-identifier model rather than a unified personal identifier regime.",2026/2/4,Initial baseline,published,restricted;tax;identity,"[""https://www.bmi.bund.de/DE/themen/moderne-verwaltung/ausweise-und-paesse/online-ausweisfunktion/online-ausweisfunktion-node.html"", ""https://www.personalausweisportal.de/Webs/PA/EN/home/home-node.html""]"
DEU,I04,"Partial
Germany is advancing interoperability through federal–state cooperation under the Online Access Act (OZG) and related initiatives, including efforts linked to the once-only principle and register modernisation. However, the interoperability backbone remains federated across levels of government and is not yet equivalent to a single, universally reused national data exchange layer covering all domains.",2026/2/4,I04 sources normalised to government-first; detail aligned to verified-attribute/data-exchange definition.,published,federal;once-only;registers,"[""https://www.digitale-verwaltung.de/Webs/DV/EN/ozg/ozg-node.html"", ""https://www.bmi.bund.de/SharedDocs/pressemitteilungen/DE/2024/07/ozg-inkrafttreten.html""]"
DEU,I05,"Yes
Germany’s Personalausweis is a physical ID card with a chip whose eID function supports secure online identification with suitable smartphones/readers and the AusweisApp. The eID is established by law and reused across public and private services with end‑to‑end encryption and authorisation checks, and it is notified in the EU at the highest assurance level. The online‑Ausweis serves as a trust anchor for digital transactions and continues to be enhanced by the federal government.",2026/2/4,"Initial baseline; I05 detail harmonised (2–4 sentence paragraph), translations aligned; government-first sources kept (batch 2026-02-10)",published,nationwide;citizens;eid,"[""https://www.bmi.bund.de/DE/themen/moderne-verwaltung/ausweise-und-paesse/online-ausweisfunktion/online-ausweisfunktion-node.html"", ""https://www.personalausweisportal.de/Webs/PA/EN/home/home-node.html""]"
DEU,I06,"Partial
Germany’s smartphone use typically relies on the national ID card’s eID function via AusweisApp and suitable readers/phones, together with the BundID account; a standalone nationwide mobile-ID credential is not the norm. Interoperability remains federated across levels of government, so smartphone-based identification is available but not yet a universal mobile-ID scheme.",2026/2/4,"I06 aligned to locked definition; detail harmonised (2–4 sentence, 1 paragraph); government-first sources; batch 2026-02-10",published,partial;smartphone;eid,"[""https://www.bmi.bund.de/DE/themen/moderne-verwaltung/ausweise-und-paesse/online-ausweisfunktion/online-ausweisfunktion-node.html"", ""https://www.personalausweisportal.de/Webs/PA/EN/citizens/bund-id/bund_id-node.html""]"
DEU,I07,"Planned
Germany participates in EU Digital Identity Wallet large‑scale pilots that include a mobile driving licence (mDL) use case under common European specifications. The pilots inform national adoption choices, but a nationwide ISO/IEC 18013‑5 issuance programme has not yet been officially confirmed, so operational acceptance remains prospective.",2026/2/4,I06 definition/classification restored; I07 definition/classification aligned; I07 details expanded (2–4 sentence); sources normalised (government-first); batch 2026-02-10,published,planned;eu-wallet;mdl,"[""https://ec.europa.eu/digital-building-blocks/sites/spaces/EUDIGITALIDENTITYWALLET/pages/694487808/What+are+the+Large+Scale+Pilot+Projects"", ""https://ec.europa.eu/digital-building-blocks/sites/spaces/EUDIGITALIDENTITYWALLET/pages/920064565/LSP-EWC""]"
DEU,I08,"Multiple
Authentication via eID function of the ID card plus BundID user account; also supports EU eID means.",2026/2/4,Initial baseline,published,authentication;eid;bundid,"[""https://www.personalausweisportal.de/Webs/PA/EN/citizens/bund-id/bund_id-node.html"", ""https://www.bmi.bund.de/DE/themen/moderne-verwaltung/ausweise-und-paesse/online-ausweisfunktion/online-ausweisfunktion-node.html"", ""https://www.personalausweisportal.de/Webs/PA/EN/home/home-node.html""]"
DEU,I09,"Shared-Platform
Federal cloud initiatives include Bundescloud and the federated German Government Cloud (DVC).",2026/2/4,Initial baseline,published,government-cloud;bundescloud;dvc,"[""https://www.itzbund.de/DE/itloesungen/egovernment/bundescloud/bundescloud.html"", ""https://www.bmi.bund.de/SharedDocs/pressemitteilungen/EN/2025/03/dvc.html""]"
DEU,I10,"Adequacy
GDPR applies (EU member state).",2026/2/4,Initial baseline,published,gdpr;privacy,"[""https://eur-lex.europa.eu/eli/reg/2016/679/oj""]"
DEU,I11,"Yes
Key milestones captured in events.csv",2026/2/4,Initial baseline,published,timeline,"[""https://www.bmi.bund.de/DE/themen/moderne-verwaltung/ausweise-und-paesse/online-ausweisfunktion/online-ausweisfunktion-node.html""]"
DNK,I01,"National
Denmark operates a central population register (CPR) as a national system of record; municipalities perform updates within a nationally unified registration framework.",2026/2/4,I01 explanatory detail expanded for consistency (classification unchanged).,published,national;cpr,"[""https://www.cpr.dk/english""]"
DNK,I02,"Yes
A central population register is in place, and resident attributes linked to the personal number are managed consistently nationwide. Address and other core attributes are commonly referenced across public administration, functioning as the nationwide backbone for resident information verification.",2026/2/4,I02 detail expanded for consistent explanatory depth (definition refined; see README).,published,nationwide;cpr,"[""https://www.mitid.dk/en-gb/help/help-universe/non-citizens/"", ""https://lifeindenmark.borger.dk/apps-and-digital-services/non-danish-eid"", ""https://www.cpr.dk/english""]"
DNK,I03,"Common
A single personal identifier (the CPR number) serves as the primary reference for interacting with public authorities and is routinely used across core administrative functions. In practice, the CPR number is also widely required in everyday life for activities such as banking and healthcare access, creating a stable common key that spans public administration and common private-sector transactions. This makes the personal identifier institutionally and practically “common” across domains.",2026/2/4,Initial baseline,published,common;cpr,"[""https://www.cpr.dk/english""]"
DNK,I04,"Nationwide
Denmark operates shared national data infrastructure for distributing core register data (people, companies, addresses, property and geodata) via standardised services, enabling broad reuse across the public sector and beyond. This functions as a nationally institutionalised backbone for obtaining authoritative data rather than point-to-point, case-by-case integrations.",2026/2/4,I04 sources normalised to government-first; detail aligned to verified-attribute/data-exchange definition.,published,core-data;shared-infra,"[""https://datafordeler.dk/"", ""https://en.digst.dk/""]"
DNK,I05,"No
Denmark does not operate a nationwide physical national ID card for residents; identity is typically proven with a passport or driving licence. Online identification for public services is provided through the MitID ecosystem (app or alternative authenticators), rather than a chip‑based national ID card used for online reuse. Accordingly, Denmark is classified No for this indicator (no national ID‑card scheme for online reuse).",2026/2/4,"Replace generic CPR source; clarify optional municipal ID card; remove needs-review; I05 detail harmonised (2–4 sentence paragraph), translations aligned; government-first sources kept (batch 2026-02-10)",published,no-id-card;optional-municipal-id,"[""https://international.kk.dk/live/cpr-registration-and-documents/identity-documents-and-certificates/identity-card"", ""https://politi.dk/en/law-and-information/travel-id""]"
DNK,I06,"Nationwide
MitID provides Denmark’s nationwide mobile eID, available as a smartphone app with onboarding that can leverage passports and CPR‑linked records. It is reused broadly across public self‑service solutions and regulated private contexts, functioning as the national mobile identity.",2026/2/4,"I06 aligned to locked definition; detail harmonised (2–4 sentence, 1 paragraph); government-first sources; batch 2026-02-10",published,nationwide;mitid;smartphone,"[""https://www.mitid.dk/en-gb/help/help-universe/non-citizens/"", ""https://lifeindenmark.borger.dk/apps-and-digital-services/non-danish-eid""]"
DNK,I07,"Nationwide 
Denmark’s official Driving Licence App (Kørekort‑appen) provides a digital version of the Danish driver’s licence that is legally valid inside Denmark, including presentation to the police and everyday ID/age checks. The app complements the plastic card and uses eID onboarding with passport/ID NFC; it is not valid abroad. Accordingly, Denmark operates a nationwide mDL for domestic use.",2026/2/4,I07 revalidated against government sources; classification changed to Nationwide; description harmonised (≈ I02 JPN length); sources updated; batch 2026-02-10,published,nationwide;drivers-license;kørekort-app,"[""https://digst.dk/it-loesninger/koerekort-app/"", ""https://www.fstyr.dk/privat/koerekort/oevrige-/koerekort-appen""]"
DNK,I08,"Yes
MitID is the national eID and key to digital services across Denmark.",2026/2/4,Initial baseline,published,authentication;mitid,"[""https://www.mitid.dk/en-gb/help/help-universe/non-citizens/"", ""https://lifeindenmark.borger.dk/apps-and-digital-services/non-danish-eid""]"
DNK,I09,"Procurement
Government cloud adoption in Denmark is guided via public-sector policy and procurement practices, including official guidance for public authorities on selecting and using cloud services (risk, law, security and contracting considerations).",2026/2/4,Finalize I09 wording; remove needs-review after source update | Sources normalised to government-first (batch lift 2026-02-10-3),published,procurement;cloud-guidance,"[""https://en.digst.dk/digital-governance/new-technologies/guide-on-the-use-of-cloud-services/""]"
DNK,I10,"Adequacy
GDPR applies (EU member state).",2026/2/4,Initial baseline,published,gdpr;privacy,"[""https://eur-lex.europa.eu/eli/reg/2016/679/oj""]"
DNK,I11,"Yes
Key milestones captured in events.csv",2026/2/4,Initial baseline,published,timeline,"[""https://www.mitid.dk/en-gb/help/help-universe/non-citizens/"", ""https://lifeindenmark.borger.dk/apps-and-digital-services/non-danish-eid""]"
EST,I01,"National
Estonia maintains a centrally managed population register at the state level; interoperability platforms such as X-Road enable data exchange but do not alter the national nature of the register.",2026/2/4,I01 explanatory detail expanded for consistency (classification unchanged).,published,mandatory;residents,"[""https://www.siseministeerium.ee/en/activities/population-procedures/population-register""]"
EST,I02,"Yes
A nationally managed population register exists, and core resident attributes can be referenced and verified by public authorities nationwide. Residence (address) data are continuously updated and treated as authoritative for administrative procedures, forming a clear nationwide backbone for resident information reference.",2026/2/4,I02 detail expanded for consistent explanatory depth (definition refined; see README).,published,nationwide;population-register,"[""https://www.siseministeerium.ee/en/activities/population-procedures/population-register"", ""https://www.riigiteataja.ee/en/eli/ee/524082022003/consolide/current""]"
EST,I03,"Common
A national personal identification code functions as a foundational identifier and is embedded across the digital and administrative ecosystem. It is used as the identifying key in government systems and is also routinely used in private-sector contexts such as e-services and regulated transactions, making it a practical common identifier across domains. The identifier is institutionally framed as a core component of the national e-identity environment rather than a sector-limited reference.",2026/2/4,Initial baseline,published,mandatory;banking;telecom;health,"[""https://www.ria.ee/en/state-information-system/electronic-identity-eid-and-trust-services/electronic-identity-eid""]"
EST,I04,"Nationwide
Estonia’s X-tee (X-Road) is a long-running national data exchange layer that provides a technological and organisational environment for secure internet-based data exchange between information systems. Members can publish and consume services under agreements, enabling systematic reuse of authoritative data across public and private sector systems.",2026/2/4,I04 sources normalised to government-first; detail aligned to verified-attribute/data-exchange definition.,published,x-tee;x-road;exchange-layer,"[""https://www.ria.ee/en/state-information-system/data-exchange-platforms/data-exchange-layer-x-tee""]"
EST,I05,"Yes
Estonia’s state ID‑card is a government‑issued physical card with chip‑resident certificates that enable strong online identification and qualified electronic signatures. It is legally embedded in the national e‑identity system and broadly reused across public e‑services and regulated private‑sector transactions. The ID‑card PKI forms a backbone of the digital state for signing, encryption and secure authentication.",2026/2/4,"Initial baseline | Sources normalised to government-first (batch lift 2026-02-10-3); I05 detail harmonised (2–4 sentence paragraph), translations aligned; government-first sources kept (batch 2026-02-10)",published,nationwide;citizens,"[""https://www.ria.ee/en/state-information-system/electronic-identity-eid-and-trust-services/electronic-identity-eid""]"
EST,I06,"Nationwide
Estonia offers nationwide smartphone identity through Mobile‑ID and Smart‑ID, enabling strong authentication and qualified signatures on phones. These solutions integrate with the state eID environment and are reused across public e‑services and regulated private transactions.",2026/2/4,"I06 aligned to locked definition; detail harmonised (2–4 sentence, 1 paragraph); government-first sources; batch 2026-02-10",published,nationwide;mobile-id;smart-id,"[""https://www.id.ee/en/"", ""https://www.ria.ee/en/state-information-system/electronic-identity-eid-and-trust-services/electronic-identity-eid""]"
EST,I07,"Pilot 
Estonia, via the Information System Authority (RIA), tested a mobile driving licence as part of EU Digital Identity Wallet large‑scale pilots (e.g., POTENTIAL), including cross‑border interoperability scenarios. The pilots concluded and inform national design, but nationwide issuance and acceptance have not been announced; therefore Estonia is recorded as pilot rather than nationwide operation.",2026/2/4,I07 status refined from Planned to Pilot based on LSP completion; description aligned (≈ I02 JPN length); sources updated; batch 2026-02-10,published,pilot;eu-wallet;mdl,"[""https://www.ria.ee/en/news/development-eu-digital-identity-wallet-services-begins-paris"", ""https://www.digital-identity-wallet.eu/wp-content/uploads/2025/10/POTENTIAL-brochure_FINAL.pdf""]"
EST,I08,"Multiple
State eID PKI + Mobile-ID + Smart-ID",2026/2/4,Initial baseline,published,authentication;signature,"[""https://www.ria.ee/en/state-information-system/electronic-identity-eid-and-trust-services/electronic-identity-eid""]"
EST,I09,"Shared-Platform
Estonian Government Cloud (Riigipilv)",2026/2/4,Initial baseline,published,shared-platform;migration,"[""https://riigipilv.ee/""]"
EST,I10,"Adequacy
EU member state under GDPR",2026/2/4,Initial baseline | Sources normalised to government-first (batch lift 2026-02-10-2),published,gdpr;privacy,"[""https://eur-lex.europa.eu/eli/reg/2016/679/oj""]"
EST,I11,"Yes
Key milestones captured in events.csv",2026/2/4,Initial baseline | Sources normalised to government-first (batch lift 2026-02-10-3),published,timeline,"[""https://www.ria.ee/en/state-information-system/electronic-identity-eid-and-trust-services/electronic-identity-eid""]"
FRA,I01,"None
France does not operate an administrative population register; official population statistics rely on census-based methods rather than continuous resident registration.",2026/2/4,I01 explanatory detail expanded for consistency (classification unchanged).,published,privacy;census,"[""https://unece.org/sites/default/files/2024-01/DOC%2015_2315335E.pdf"", ""https://www.insee.fr/en/metadonnees/source/serie/s1321""]"
FRA,I02,"No
There is no unified nationwide population register serving as an authoritative resident register. While purpose-specific administrative systems exist, resident attributes are not provided through a single nationwide register backbone; verification is carried out within domain-specific arrangements rather than a cross-cutting register-based nationwide reference.",2026/2/4,I02 detail expanded for consistent explanatory depth (definition refined; see README).,published,none,"[""https://unece.org/sites/default/files/2024-01/DOC%2015_2315335E.pdf""]"
FRA,I03,"Restricted
A national identifier (NIR) exists, but its collection and use are treated as particularly sensitive and are tightly framed by law. Authorised purposes and eligible controllers are specified under the “décret cadre NIR” approach, and uses outside the defined scope are generally prohibited or require a distinct legal basis. This positions the identifier as a restricted institutional tool, rather than a freely usable common key across public and private sectors.",2026/2/4,Initial baseline,published,restricted;privacy,"[""https://www.cnil.fr/fr/numero-dinscription-des-personnes-dans-le-secteur-social-le-decret-cadre-nir-en-questions"", ""https://www.legifrance.gouv.fr/loda/id/JORFTEXT000038396526""]"
FRA,I04,"Partial
France pursues ‘Dites-le-nous-une-fois’ (DLNUF) by enabling administrations to retrieve data and supporting documents via APIs rather than asking users to submit what another administration already holds. The approach relies on catalogued government APIs and habilitation/access mechanisms, but it remains domain-specific and does not amount to a single unified nationwide exchange layer for all administrative data.",2026/2/4,I04 sources normalised to government-first; detail aligned to verified-attribute/data-exchange definition.,published,dlunf;api;habilitations,"[""https://api.gouv.fr/"", ""https://www.numerique.gouv.fr/offre-accompagnement/expertise-api-donnees/""]"
FRA,I05,"Yes
France’s national identity card (CNI) is issued by the state and is paired with the France Identité app, which enables online identification and access to more than 1,800 services via FranceConnect without passwords. The app extends the card’s uses in the digital environment and lets users generate verifiable identity proofs and present ID in person. The programme is operated by France Titres/ANTS under ministerial oversight.",2026/2/4,"Initial baseline; I05 detail harmonised (2–4 sentence paragraph), translations aligned; government-first sources kept (batch 2026-02-10)",published,nationwide;citizens,"[""https://www.service-public.fr/particuliers/vosdroits/F21089"", ""https://france-identite.gouv.fr/""]"
FRA,I06,"Nationwide
France Identité (mobile identity app) has been generalised and allows people to prove identity online and access services via FranceConnect/FranceConnect+. It extends the state ID card into the smartphone environment and supports complementary features such as the digital driving licence.",2026/2/4,"I06 aligned to locked definition; detail harmonised (2–4 sentence, 1 paragraph); government-first sources; batch 2026-02-10",published,nationwide;smartphone;france-identite,"[""https://france-identite.gouv.fr/"", ""https://www.interieur.gouv.fr/actualites/communiques-de-presse/generalisation-de-lapplication-france-identite-et-lancement-du""]"
FRA,I07,"Nationwide
France has introduced the digital driving licence inside the France Identité app as a complementary credential that can be presented and verified alongside other identity proofs. It is available nationwide within the state’s mobile identity ecosystem and integrates with FranceConnect+, providing a smartphone route for driver identification and selected administrative procedures.",2026/2/4,I06 definition/classification restored; I07 definition/classification aligned; I07 details expanded (2–4 sentence); sources normalised (government-first); batch 2026-02-10,published,nationwide;drivers-license,"[""https://france-identite.gouv.fr/usages/le-permis-de-conduire-numerique/"", ""https://www.interieur.gouv.fr/actualites/communiques-de-presse/generalisation-de-lapplication-france-identite-et-lancement-du""]"
FRA,I08,"Yes
FranceConnect is the state SSO / authentication federator",2026/2/4,Initial baseline,published,authentication,"[""https://www.franceconnect.gouv.fr/?lang=en""]"
FRA,I09,"Procurement
“Cloud au centre doctrine guides public cloud adoption",2026/2/4,Initial baseline,published,procurement;cloud-policy,"[""https://www.numerique.gouv.fr/cloud/"", ""https://www.legifrance.gouv.fr/circulaire/id/45205""]"
FRA,I10,"Adequacy
GDPR applies (EU member); CNIL as supervisory authority",2026/2/4,Initial baseline,published,gdpr;privacy,"[""https://www.cnil.fr/en""]"
FRA,I11,"Yes
Key milestones captured in events.csv",2026/2/4,Initial baseline,published,timeline,"[""https://france-identite.gouv.fr/""]"
GBR,I01,"None
The United Kingdom does not maintain an administrative population register; population statistics are produced through census and surveys, while government records remain fragmented by purpose.",2026/2/4,I01 explanatory detail expanded for consistency (classification unchanged). | Sources normalised to government-first (batch lift 2026-02-10-2),published,none;no-register,"[""https://www.ons.gov.uk/census"", ""https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates""]"
GBR,I02,"No
There is no resident-registration-based nationwide backbone for querying and verifying core attributes. Identity confirmation in administrative practice relies on purpose-specific records such as tax, social insurance, health, and electoral rolls, which are maintained separately; no unified register exists that enables cross-cutting nationwide verification of address-linked core particulars.",2026/2/4,I02 detail expanded for consistent explanatory depth (definition refined; see README). | Sources normalised to government-first (batch lift 2026-02-10-2),published,none,"[""https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates"", ""https://www.ons.gov.uk/census/aboutcensus/legislationandpolicy""]"
GBR,I03,"None
A National Insurance number exists as a lifelong reference number to ensure National Insurance contributions and tax are accurately recorded, and it also serves as a reference for benefits. However, it is not positioned as a single universal personal identifier used across the whole of public administration and private transactions; instead, identity and records remain fragmented by purpose and sector. Under this institutional design, the country aligns with a non-common-identifier model rather than a unified personal identifier regime.",2026/2/4,Initial baseline,published,restricted;tax;benefits,"[""https://www.gov.uk/national-insurance/your-national-insurance-number""]"
