country_id,basic_id,value,year,version,change_note,review_status,source_url
CAN,A03,"93.9564
World Bank (WDI): Individuals using the Internet (% of population) / IT.NET.USER.ZS",2023,2026/2/4,A03 updated (latest available) from World Bank WDI.,published,"[""https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=CA""]"
CAN,A04,"94.1497
Proxy: Mobile cellular subscriptions (per 100 people) / IT.CEL.SETS.P2 (スマホ普及率の代理指標)
World Bank (WDI)",2023,2026/2/4,A04 updated (latest available) from World Bank WDI (proxy).,published,"[""https://data.worldbank.org/indicator/IT.CEL.SETS.P2?locations=CA""]"
CAN,A05,"65,463
World Bank (WDI): GDP per capita, PPP (current international $) / NY.GDP.PCAP.PP.CD",2024,2026/2/4,A05 updated (latest available) from World Bank WDI (PPP).,published,"[""https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=CA""]"
CAN,A06,"2
Official languages (incl. de facto where stated): English (Federal); French (Federal)",2026,2026/2/4,A06 updated from official languages listing (statewide; de facto only when explicitly stated).,published,"[""https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory""]"
CAN,B01,"連邦国家（Federal）
根拠：憲法に基づき、連邦政府と州政府の間で権限が分担される連邦制である。",2026,2026/2/4,Initial baseline (basic info template); B01 finalised (unitary/federal).,published,"[""https://www.canada.ca/en/intergovernmental-affairs/services/federation/federalism-canada.html""]"
CAN,B02,"5161
根拠：Statistics CanadaのCensus Subdivisions（CSD）総数。CSDは自治体または自治体相当（保留地・未編入地域等）を含む統計上の基礎単位。",2021,2026/2/4,Initial baseline (basic info template); B02 finalised (municipality count).,published,"[""https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/index-eng.cfm"",""https://www.arcgis.com/home/item.html?id=594124f0380d42b7a4b450574dd9630c""]"
CAN,B03,"Medium
憲法上の保障：憲法上の政府単位として明示される形ではなく州制度に依存／立法権の有無：なし／制度上の位置づけ：自治体は州法により権限・制度が定まる／裁量の制約要因：州法・州の監督、財源・権限が州設計に依存",2026,2026/2/4,"Initial baseline (basic info template); B03 finalised (Strong/Medium/Weak, templated).",published,"[""https://www.canada.ca/en/intergovernmental-affairs/services/federation/federalism-canada.html""]"
CAN,C01,"0.510500
OECD: Trust in government (share reporting confidence in national government; 2023). Stored as 0-1 (percentage/100).",2023,2026/2/4,"C01 updated (OECD Trust in government: confidence in national government, 2023; scaled to 0-1, 6 decimals)",published,"[""https://www.oecd.org/en/data/indicators/trust-in-government.html"",""https://worldpopulationreview.com/country-rankings/trust-in-government-by-country""]"
CAN,C02,"0.606587
OECD Going Digital (Truth Quest Survey): Share of adults who avoid using certain websites, apps, or social media due to privacy concerns (Year: 2024). Stored as 0-1 (percentage/100).",2024,2026/2/4,"C02 updated (OECD Going Digital indicator 84; scaled to 0-1, 6 decimals)",published,"[""https://goingdigital.oecd.org/en/indicator/84"",""https://www.oecd.org/en/publications/the-oecd-truth-quest-survey_92a94c0f-en.html""]"
CAN,C03,"0.948985
根拠：World Bank GovTech Dataset（WBG_GovTech_Dataset_Dec2025.xlsx）GTMI overall score（Year: 2025, Group: A）",2025,2026/2/4,"C03 GTMI updated (GTMI overall score, 2025)",published,"[""https://datacatalogfiles.worldbank.org/ddh-published/0037889/DR0095721/WBG_GovTech_Dataset_Dec2025.xlsx"", ""https://www.worldbank.org/en/programs/govtech/knowledge-and-innovation/data""]"
DEU,A01,"83,516,593
World Bank (WDI) SP.POP.TOTL",2024,2026/2/4,A01 population updated,published,"[""https://data.worldbank.org/indicator/SP.POP.TOTL?locations=DE""]"
DEU,A02,"82
World Bank (WDI) SP.URB.TOTL.IN.ZS（都市の定義は国別）",2024,2026/2/4,A02 urbanization updated,published,"[""https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS?locations=DE""]"
DEU,A03,"93.5
World Bank (WDI): Individuals using the Internet (% of population) / IT.NET.USER.ZS",2024,2026/2/4,A03 updated (latest available) from World Bank WDI.,published,"[""https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=DE""]"
DEU,A04,"124.663
Proxy: Mobile cellular subscriptions (per 100 people) / IT.CEL.SETS.P2 (スマホ普及率の代理指標)
World Bank (WDI)",2023,2026/2/4,A04 updated (latest available) from World Bank WDI (proxy).,published,"[""https://data.worldbank.org/indicator/IT.CEL.SETS.P2?locations=DE""]"
DEU,A05,"72,295
World Bank (WDI): GDP per capita, PPP (current international $) / NY.GDP.PCAP.PP.CD",2024,2026/2/4,A05 updated (latest available) from World Bank WDI (PPP).,published,"[""https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=DE""]"
DEU,A06,"1
Official languages (incl. de facto where stated): German",2026,2026/2/4,A06 updated from official languages listing (statewide; de facto only when explicitly stated).,published,"[""https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory""]"
DEU,B01,"連邦国家（Federal）
根拠：ドイツは16の州（Länder）からなる連邦国家で、基本法が連邦と州の権限分担を定める。",2026,2026/2/4,Initial baseline (basic info template); B01 finalised (unitary/federal).,published,"[""https://www.bmi.bund.de/EN/topics/constitution/state-order/federalism-local-government/federalism-local-government-node.html""]"
DEU,B02,"11056
根拠：連邦内務省（BMI）資料に記載の市町村（cities and towns）数。",2024,2026/2/4,Initial baseline (basic info template); B02 finalised (municipality count).,published,"[""https://www.bmi.bund.de/EN/topics/constitution/state-order/federalism-local-government/federalism-local-government-node.html""]"
DEU,B03,"Strong
憲法上の保障：基本法で地方自治（自治体の自己自治権）が保障（Art.28(2)等）／立法権の有無：なし（条例制定等は法律の範囲）／制度上の位置づけ：自治体は州（Länder）の一部として位置づけ／裁量の制約要因：州法・連邦法の枠内（監督は州を通じて）",2026,2026/2/4,"Initial baseline (basic info template); B03 finalised (Strong/Medium/Weak, templated).",published,"[""https://www.bmi.bund.de/EN/topics/constitution/state-order/federalism-local-government/federalism-local-government-node.html""]"
DEU,C01,"0.596000
OECD: Trust in government (share reporting confidence in national government; 2023). Stored as 0-1 (percentage/100).",2023,2026/2/4,"C01 updated (OECD Trust in government: confidence in national government, 2023; scaled to 0-1, 6 decimals)",published,"[""https://www.oecd.org/en/data/indicators/trust-in-government.html"",""https://worldpopulationreview.com/country-rankings/trust-in-government-by-country""]"
DEU,C02,"0.526304
OECD Going Digital (Truth Quest Survey): Share of adults who avoid using certain websites, apps, or social media due to privacy concerns (Year: 2024). Stored as 0-1 (percentage/100).",2024,2026/2/4,"C02 updated (OECD Going Digital indicator 84; scaled to 0-1, 6 decimals)",published,"[""https://goingdigital.oecd.org/en/indicator/84"",""https://www.oecd.org/en/publications/the-oecd-truth-quest-survey_92a94c0f-en.html""]"
DEU,C03,"0.763231
根拠：World Bank GovTech Dataset（WBG_GovTech_Dataset_Dec2025.xlsx）GTMI overall score（Year: 2025, Group: A）",2025,2026/2/4,"C03 GTMI updated (GTMI overall score, 2025)",published,"[""https://datacatalogfiles.worldbank.org/ddh-published/0037889/DR0095721/WBG_GovTech_Dataset_Dec2025.xlsx"", ""https://www.worldbank.org/en/programs/govtech/knowledge-and-innovation/data""]"
DNK,A01,"5,976,992
World Bank (WDI) SP.POP.TOTL（FRED経由）",2024,2026/2/4,A01 population updated,published,"[""https://fred.stlouisfed.org/series/POPTOTDKA647NWDB""]"
DNK,A02,"89
World Bank (WDI) SP.URB.TOTL.IN.ZS（都市の定義は国別）",2024,2026/2/4,A02 urbanization updated,published,"[""https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS?locations=DK""]"
DNK,A03,"99.7692
World Bank (WDI): Individuals using the Internet (% of population) / IT.NET.USER.ZS",2024,2026/2/4,A03 updated (latest available) from World Bank WDI.,published,"[""https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=DK""]"
DNK,A04,"126.919
Proxy: Mobile cellular subscriptions (per 100 people) / IT.CEL.SETS.P2 (スマホ普及率の代理指標)
World Bank (WDI)",2023,2026/2/4,A04 updated (latest available) from World Bank WDI (proxy).,published,"[""https://data.worldbank.org/indicator/IT.CEL.SETS.P2?locations=DK""]"
DNK,A05,"79,514
World Bank (WDI): GDP per capita, PPP (current international $) / NY.GDP.PCAP.PP.CD",2024,2026/2/4,A05 updated (latest available) from World Bank WDI (PPP).,published,"[""https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=DK""]"
DNK,A06,"1
Official languages (incl. de facto where stated): Danish",2026,2026/2/4,A06 updated from official languages listing (statewide; de facto only when explicitly stated).,published,"[""https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory""]"
DNK,B01,"単一国家（Unitary）
根拠：単一国家として整理される（分権的な制度設計はB03で扱う）。",2026,2026/2/4,Initial baseline (basic info template); B01 finalised (unitary/federal).,published,"[""https://portal.cor.europa.eu/divisionpowers/Pages/Denmark-Introduction.aspx""]"
DNK,B02,"98
根拠：2007年改革で98自治体が形成（以後この枠組みで運用）。",2025,2026/2/4,Initial baseline (basic info template); B02 finalised (municipality count).,published,"[""https://www.dst.dk/en/Statistik/dokumentation/nomenklaturer/nuts"",""https://www.ism.dk/indenrigs/kommunal-og-regionaloekonomi/kommunale-opgaver-og-struktur/kommunalreformen-i-2007""]"
DNK,B03,"Strong
憲法上の保障：憲法に地方自治が位置づけ（Section 82）／立法権の有無：なし／制度上の位置づけ：自治体（kommuner）中心・地域（regioner）／裁量の制約要因：国法の枠内、国家行政による監督",2026,2026/2/4,"Initial baseline (basic info template); B03 finalised (Strong/Medium/Weak, templated).",published,"[""https://www.ism.dk/indenrigs/kommunal-og-regionaloekonomi/kommunale-opgaver-og-struktur/kommunalreformen-i-2007"",""https://portal.cor.europa.eu/divisionpowers/Pages/Denmark-Introduction.aspx""]"
DNK,C01,"0.599300
OECD: Trust in government (share reporting confidence in national government; 2023). Stored as 0-1 (percentage/100).",2023,2026/2/4,"C01 updated (OECD Trust in government: confidence in national government, 2023; scaled to 0-1, 6 decimals)",published,"[""https://www.oecd.org/en/data/indicators/trust-in-government.html"",""https://worldpopulationreview.com/country-rankings/trust-in-government-by-country""]"
DNK,C02,,,2026/2/4,Initial baseline (basic info template),published,[]
DNK,C03,"0.927636
根拠：World Bank GovTech Dataset（WBG_GovTech_Dataset_Dec2025.xlsx）GTMI overall score（Year: 2025, Group: A）",2025,2026/2/4,"C03 GTMI updated (GTMI overall score, 2025)",published,"[""https://datacatalogfiles.worldbank.org/ddh-published/0037889/DR0095721/WBG_GovTech_Dataset_Dec2025.xlsx"", ""https://www.worldbank.org/en/programs/govtech/knowledge-and-innovation/data""]"
EST,A01,"1,371,986
World Bank (WDI) SP.POP.TOTL",2024,2026/2/4,A01 population updated,published,"[""https://data.worldbank.org/indicator/SP.POP.TOTL?locations=EE""]"
EST,A02,"71
World Bank (WDI) SP.URB.TOTL.IN.ZS（都市の定義は国別）",2024,2026/2/4,A02 urbanization updated,published,"[""https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS?locations=EE""]"
EST,A03,"92.238
World Bank (WDI): Individuals using the Internet (% of population) / IT.NET.USER.ZS",2024,2026/2/4,A03 updated (latest available) from World Bank WDI.,published,"[""https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=EE""]"
EST,A04,"150.196
Proxy: Mobile cellular subscriptions (per 100 people) / IT.CEL.SETS.P2 (スマホ普及率の代理指標)
World Bank (WDI)",2023,2026/2/4,A04 updated (latest available) from World Bank WDI (proxy).,published,"[""https://data.worldbank.org/indicator/IT.CEL.SETS.P2?locations=EE""]"
EST,A05,"49,321
World Bank (WDI): GDP per capita, PPP (current international $) / NY.GDP.PCAP.PP.CD",2024,2026/2/4,A05 updated (latest available) from World Bank WDI (PPP).,published,"[""https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=EE""]"
EST,A06,"1
Official languages (incl. de facto where stated): Estonian",2026,2026/2/4,A06 updated from official languages listing (statewide; de facto only when explicitly stated).,published,"[""https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory""]"
EST,B01,"単一国家（Unitary）
根拠：1992年憲法の下で単一国家として説明される。",2026,2026/2/4,Initial baseline (basic info template); B01 finalised (unitary/federal).,published,"[""https://portal.cor.europa.eu/divisionpowers/Pages/Estonia-Introduction.aspx""]"
EST,B02,"79
根拠：地方自治体（municipalities）のみが自治レベルで、79（64 rural + 15 urban）と説明。",2020,2026/2/4,Initial baseline (basic info template); B02 finalised (municipality count).,published,"[""https://portal.cor.europa.eu/divisionpowers/Pages/Estonia-Introduction.aspx""]"
EST,B03,"Medium
憲法上の保障：憲法上、地方自治は保障され地方の事項は自治体が処理／立法権の有無：なし／制度上の位置づけ：自治体は唯一の地方自治レベル（単層）／裁量の制約要因：法律の枠内での自治",2026,2026/2/4,"Initial baseline (basic info template); B03 finalised (Strong/Medium/Weak, templated).",published,"[""https://portal.cor.europa.eu/divisionpowers/Pages/Estonia-Introduction.aspx""]"
EST,C01,"0.532500
OECD: Trust in government (share reporting confidence in national government; 2023). Stored as 0-1 (percentage/100).",2023,2026/2/4,"C01 updated (OECD Trust in government: confidence in national government, 2023; scaled to 0-1, 6 decimals)",published,"[""https://www.oecd.org/en/data/indicators/trust-in-government.html"",""https://worldpopulationreview.com/country-rankings/trust-in-government-by-country""]"
EST,C02,,,2026/2/4,Initial baseline (basic info template),published,[]
EST,C03,"0.990102
根拠：World Bank GovTech Dataset（WBG_GovTech_Dataset_Dec2025.xlsx）GTMI overall score（Year: 2025, Group: A）",2025,2026/2/4,"C03 GTMI updated (GTMI overall score, 2025)",published,"[""https://datacatalogfiles.worldbank.org/ddh-published/0037889/DR0095721/WBG_GovTech_Dataset_Dec2025.xlsx"", ""https://www.worldbank.org/en/programs/govtech/knowledge-and-innovation/data""]"
FRA,A01,"68,551,653
World Bank (WDI) SP.POP.TOTL",2024,2026/2/4,A01 population updated,published,"[""https://data.worldbank.org/indicator/SP.POP.TOTL?locations=FR""]"
FRA,A02,"79
World Bank (WDI) SP.URB.TOTL.IN.ZS（都市の定義は国別）",2024,2026/2/4,A02 urbanization updated,published,"[""https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS?locations=FR""]"
FRA,A03,"88.6538
World Bank (WDI): Individuals using the Internet (% of population) / IT.NET.USER.ZS",2024,2026/2/4,A03 updated (latest available) from World Bank WDI.,published,"[""https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=FR""]"
FRA,A04,"116.688
Proxy: Mobile cellular subscriptions (per 100 people) / IT.CEL.SETS.P2 (スマホ普及率の代理指標)
World Bank (WDI)",2023,2026/2/4,A04 updated (latest available) from World Bank WDI (proxy).,published,"[""https://data.worldbank.org/indicator/IT.CEL.SETS.P2?locations=FR""]"
FRA,A05,"61,290
World Bank (WDI): GDP per capita, PPP (current international $) / NY.GDP.PCAP.PP.CD",2024,2026/2/4,A05 updated (latest available) from World Bank WDI (PPP).,published,"[""https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=FR""]"
FRA,A06,"1
Official languages (incl. de facto where stated): French",2026,2026/2/4,A06 updated from official languages listing (statewide; de facto only when explicitly stated).,published,"[""https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory""]"
FRA,B01,"単一国家（Unitary）
根拠：単一国家として整理される（分権的な制度設計はB03で扱う）。",2026,2026/2/4,Initial baseline (basic info template); B01 finalised (unitary/federal).,published,"[""https://portal.cor.europa.eu/divisionpowers/Pages/France-Introduction.aspx""]"
FRA,B02,"34935
根拠：DGCLの整理として、2024年1月1日時点のコミューン数は34,935。",2024,2026/2/4,Initial baseline (basic info template); B02 finalised (municipality count).,published,"[""https://www.vie-publique.fr/en-bref/293455-collectivites-34-935-communes-au-1er-janvier-2024"",""https://utopies-urbaines.fr/wp-content/uploads/2025/11/Collectivites-locales_en_chiffres_2024-communes-population.pdf""]"
FRA,B03,"Medium
憲法上の保障：単一国家だが分権型として整理／立法権の有無：なし（地方政府に立法権なし）／制度上の位置づけ：地域・県・コミューンの3層（条例・予算執行中心）／裁量の制約要因：国法の枠内、国の監督（prefect等）",2026,2026/2/4,"Initial baseline (basic info template); B03 finalised (Strong/Medium/Weak, templated).",published,"[""https://portal.cor.europa.eu/divisionpowers/Pages/France-Introduction.aspx""]"
FRA,C01,"0.440600
OECD: Trust in government (share reporting confidence in national government; 2023). Stored as 0-1 (percentage/100).",2023,2026/2/4,"C01 updated (OECD Trust in government: confidence in national government, 2023; scaled to 0-1, 6 decimals)",published,"[""https://www.oecd.org/en/data/indicators/trust-in-government.html"",""https://worldpopulationreview.com/country-rankings/trust-in-government-by-country""]"
FRA,C02,"0.643519
OECD Going Digital (Truth Quest Survey): Share of adults who avoid using certain websites, apps, or social media due to privacy concerns (Year: 2024). Stored as 0-1 (percentage/100).",2024,2026/2/4,"C02 updated (OECD Going Digital indicator 84; scaled to 0-1, 6 decimals)",published,"[""https://goingdigital.oecd.org/en/indicator/84"",""https://www.oecd.org/en/publications/the-oecd-truth-quest-survey_92a94c0f-en.html""]"
FRA,C03,"0.823927
根拠：World Bank GovTech Dataset（WBG_GovTech_Dataset_Dec2025.xlsx）GTMI overall score（Year: 2025, Group: A）",2025,2026/2/4,"C03 GTMI updated (GTMI overall score, 2025)",published,"[""https://datacatalogfiles.worldbank.org/ddh-published/0037889/DR0095721/WBG_GovTech_Dataset_Dec2025.xlsx"", ""https://www.worldbank.org/en/programs/govtech/knowledge-and-innovation/data""]"
GBR,A01,"69,226,000
World Bank (WDI) SP.POP.TOTL",2024,2026/2/4,A01 population updated,published,"[""https://data.worldbank.org/indicator/SP.POP.TOTL?locations=GB""]"
GBR,A02,"83
World Bank (WDI) SP.URB.TOTL.IN.ZS（都市の定義は国別）",2024,2026/2/4,A02 urbanization updated,published,"[""https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS?locations=GB""]"
GBR,A03,"96.2988
World Bank (WDI): Individuals using the Internet (% of population) / IT.NET.USER.ZS",2023,2026/2/4,A03 updated (latest available) from World Bank WDI.,published,"[""https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=GB""]"
GBR,A04,"122.796
Proxy: Mobile cellular subscriptions (per 100 people) / IT.CEL.SETS.P2 (スマホ普及率の代理指標)
World Bank (WDI)",2023,2026/2/4,A04 updated (latest available) from World Bank WDI (proxy).,published,"[""https://data.worldbank.org/indicator/IT.CEL.SETS.P2?locations=GB""]"
GBR,A05,"60,620
World Bank (WDI): GDP per capita, PPP (current international $) / NY.GDP.PCAP.PP.CD",2024,2026/2/4,A05 updated (latest available) from World Bank WDI (PPP).,published,"[""https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=GB""]"
GBR,A06,"1
Official languages (incl. de facto where stated): English (de facto)",2026,2026/2/4,A06 updated from official languages listing (statewide; de facto only when explicitly stated).,published,"[""https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory""]"
GBR,B01,"単一国家（Unitary）
補足：スコットランド等へのdevolution（権限移譲）はあるが、連邦制ではなく、議会主権の下で法律により付与される制度として整理される。",2026,2026/2/4,Initial baseline (basic info template); B01 finalised (unitary/federal).,published,"[""https://www.gov.uk/government/collections/devolution-scotland-wales-and-northern-ireland"",""https://commonslibrary.parliament.uk/research-briefings/cbp-8599/""]"
GBR,B02,"382
根拠：英国の地方自治体数（England 317 + Scotland 32 + Wales 22 + Northern Ireland 11）。Englandは政府資料、Scotlandはスコットランド政府、WalesはLaw Wales、NIはnidirectの記載に基づく。",2025,2026/2/4,Initial baseline (basic info template); B02 finalised (municipality count).,published,"[""https://www.gov.uk/guidance/local-government-structure-and-elections"",""https://www.gov.scot/policies/local-government/"",""https://law.gov.wales/local-government-bodies"",""https://www.nidirect.gov.uk/articles/local-councils""]"
GBR,B03,"Medium
憲法上の保障：devolutionは法定の権限移譲として整理／立法権の有無：なし／制度上の位置づけ：分権制度は議会制定法に基づき設置／裁量の制約要因：議会主権の下で制度変更が可能（理論上可逆）",2026,2026/2/4,"Initial baseline (basic info template); B03 finalised (Strong/Medium/Weak, templated).",published,"[""https://www.gov.uk/government/collections/devolution-scotland-wales-and-northern-ireland"",""https://commonslibrary.parliament.uk/research-briefings/cbp-8599/""]"
GBR,C01,"0.338600
OECD: Trust in government (share reporting confidence in national government; 2023). Stored as 0-1 (percentage/100).",2023,2026/2/4,"C01 updated (OECD Trust in government: confidence in national government, 2023; scaled to 0-1, 6 decimals)",published,"[""https://www.oecd.org/en/data/indicators/trust-in-government.html"",""https://worldpopulationreview.com/country-rankings/trust-in-government-by-country""]"
GBR,C02,"0.585539
OECD Going Digital (Truth Quest Survey): Share of adults who avoid using certain websites, apps, or social media due to privacy concerns (Year: 2024). Stored as 0-1 (percentage/100).",2024,2026/2/4,"C02 updated (OECD Going Digital indicator 84; scaled to 0-1, 6 decimals)",published,"[""https://goingdigital.oecd.org/en/indicator/84"",""https://www.oecd.org/en/publications/the-oecd-truth-quest-survey_92a94c0f-en.html""]"
GBR,C03,"0.857946
根拠：World Bank GovTech Dataset（WBG_GovTech_Dataset_Dec2025.xlsx）GTMI overall score（Year: 2025, Group: A）",2025,2026/2/4,"C03 GTMI updated (GTMI overall score, 2025)",published,"[""https://datacatalogfiles.worldbank.org/ddh-published/0037889/DR0095721/WBG_GovTech_Dataset_Dec2025.xlsx"", ""https://www.worldbank.org/en/programs/govtech/knowledge-and-innovation/data""]"
IND,A01,"1,450,935,790
World Bank (WDI) SP.POP.TOTL",2024,2026/2/4,A01 population updated,published,"[""https://data.worldbank.org/indicator/SP.POP.TOTL?locations=IN""]"
IND,A02,"35
World Bank (WDI) SP.URB.TOTL.IN.ZS（都市の定義は国別）",2024,2026/2/4,A02 urbanization updated,published,"[""https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS?locations=IN""]"
IND,A03,"55.9
World Bank (WDI): Individuals using the Internet (% of population) / IT.NET.USER.ZS",2022,2026/2/4,A03 updated (latest available) from World Bank WDI.,published,"[""https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=IN""]"
IND,A04,"80.5632
Proxy: Mobile cellular subscriptions (per 100 people) / IT.CEL.SETS.P2 (スマホ普及率の代理指標)
World Bank (WDI)",2023,2026/2/4,A04 updated (latest available) from World Bank WDI (proxy).,published,"[""https://data.worldbank.org/indicator/IT.CEL.SETS.P2?locations=IN""]"
IND,A05,"11,160
World Bank (WDI): GDP per capita, PPP (current international $) / NY.GDP.PCAP.PP.CD",2024,2026/2/4,A05 updated (latest available) from World Bank WDI (PPP).,published,"[""https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD?locations=IN""]"
IND,A06,"2
Official languages (incl. de facto where stated): Hindi; English",2026,2026/2/4,A06 updated from official languages listing (statewide; de facto only when explicitly stated).,published,"[""https://en.wikipedia.org/wiki/List_of_official_languages_by_country_and_territory""]"
IND,B01,"連邦国家（Federal）
補足：憲法上は「Union of States」と表現され、学術的に「準連邦（quasi-federal）」として論じられることがある。",2026,2026/2/4,Initial baseline (basic info template); B01 finalised (unitary/federal).,published,"[""https://www.cambridge.org/core/journals/global-constitutionalism/article/quasifederal-constitution-taxonomical-influences-on-interpretation-of-federalism-in-india/FCD6BF65EB66D93C09B916B0E2E036A7""]"
